Year,Consumer,Commercial,Military,Yearly Total,Cumulative,Source
2016,2041900,110300,,2152200,2152200,Gartner evaluated the average commercial drone at $25k/unit and a consumer one at $835/unit in 2016 https://www.gartner.com/en/newsroom/press-releases/2017-02-09-gartner-says-almost-3-million-personal-and-commercial-drones-will-be-shipped-in-2017
2017,2676757,159000,,2835757,4987957,Statista commercial drones shipments: https://www.statista.com/chart/17201/commecial-drones-projected-growth/
2018,3509000,246000,,3755000,8742957,
2019,4600000,392253,,4992253,13735210,
2020,5000000,598728,,5598728,19333938,Statista says 5 million in 2020 https://www.statista.com/statistics/1234658/worldwide-consumer-drone-unit-shipments/
2021,5233176,913888,,6147064,25481002,
2022,5477226,1394943,5000,6877169,32358171,"https://x.com/KyivIndependent/status/1703067372850925832?ref_src=twsrc%5Etfw https://agroreview.com/en/newsen/agripolicy/drone-production-ukraine-increased-million/#:~:text=Over%20the%20year%2C%201.7%20million,figure%20rose%20to%20415%2C030%20units."
2023,5732657,2129217,555000,8416874,40775045,"Ukraine 415k military units https://agroreview.com/en/newsen/agripolicy/drone-production-ukraine-increased-million/#:~:text=Over%20the%20year%2C%201.7%20million,figure%20rose%20to%20415%2C030%20units. Russia 140k military drones https://www.reuters.com/world/europe/putin-says-drone-supplies-russian-army-increase-tenfold-2024-2024-09-19/"
2024,6000000,3250000,3000000,12250000,53025045,"This report underestimates the number of military drones by about half but we can work from it: 54% consumer, 29% enterprise, 17% military (1.9M) https://www.marketreportsworld.com/market-reports/uav-drones-market-14722242 1.5M military drones for each side Russia/Ukraine: https://www.themoscowtimes.com/2025/06/27/russian-think-tank-reports-rapid-increase-in-drone-production-a89604 https://kyivindependent.com/ukrainian-drones-made-up-over-96-of-uavs-military-used-in-2024-defense-minister-says/"
2025,6800000,4062500,5000000,15862500,68887545,"Commercial drone growth of 25% from 24 to 25, consumer calculated from an additional reduction of the share, in line with previous trend: (3250*1.25=4062.5), (4062.5/0.36=11284) (11284-4062=7222) https://www.theglobeandmail.com/investing/markets/stocks/DPRO-CN/pressreleases/36574020/drone-operations-and-opportunities-soaring-as-multi-billion-dollar-industry-is-expected-to-significantly-grow/ 5M military in Ukraine/Russia in 2025: https://understandingwar.org/research/russia-ukraine/russias-fpv-drone-campaign-in-ukraine-institutionalizes-intentional-civilian-harm-as-a-tool-of-war/"
,,,,,,Additional data:
,,,,,,"FAA data shows the number of new registrations from 2016 to 2024 by quarter, which gives a sense of the number of drones growing. Only targets (new) registered drones which is only a segment of the whole but shows the clear continued increase. https://www.faa.gov/data_research/aviation/aerospace_forecasts/2025-uas-and-aam-full-document.pdf"
,,,,,,"From 2016 to 2024, the proportion of market value (not units) of commercial drones in the US went from 5% (https://droneanalyst.com/wp-content/uploads/2020/08/Historical-Performance-of-the-UAS-Industry-Final.pdf) to 34%, (FAA data) a massive evolution. As consumers find little use for additional drones, businesses do and increase their airprint. The share of commercial drones will only increase compared to consumers. The value is computed from the annual FAA reports by dividing the commercial fleet by the total of commercial + recreational. It seems reasonable to imagine the proportions must be similar throughout the world. (with the exception of Ukraine and Russia which are basically the proxy for military category)"
,,,,,,More FAA data: https://www.faa.gov/data_research/aviation/aerospace_forecasts
