Year,Units,Cumulative,Source
2015,3800000,4200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2016,4000000,9700000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2017,5000000,17200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2018,8000000,27700000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2019,10000000,41700000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2020,13500000,58200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2021,16000000,78200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2022,19000000,100200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2023,21000000,124200000,Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment
2024,26000000,151200000,"All categories: https://www.idc.com/resource-center/blog/global-home-cleaning-robot-market-2025/ Lawn mowers: https://www.industryresearch.biz/market-reports/robotic-lawn-mowers-market-113185#:~:text=Report%20Coverage%20of%20Robotic%20Lawnin%20robotic%20lawn%20mowing%20solutions, Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment, see also https://www1.hkexnews.hk/app/sehk/2025/107918/a127849/sehk25120104147.pdf"
2025,32700000,181200000,"All categories: https://www.idc.com/resource-center/blog/global-home-cleaning-robot-market-2025/ Lawn mowers: https://www.prnewswire.com/news-releases/robosense-ranked-no1-in-global-3d-lidar-sales-volume-for-robotic-lawn-mowers-302663374.html, Vacuum cleaners: https://www.statista.com/statistics/1022967/worldwide-robotic-vacuum-cleaner-shipment"
