year,units,cumulative,source
2015,2000000,2000000, DJI accounts for 85% of all detections: https://www.thedronegirl.com/2025/11/06/2025-drone-market-dji/#:~:text=DJI:%2083.48%25%20%E2%80%94%20The%20Chinesethe%20consumer%20space%20barely%20registers
2016,4000000,6000000,
2017,5000000,11000000,
2018,5000000,16000000,
2019,6000000,22000000,
2020,6000000,28000000,
2021,7000000,35000000,
2022,7000000,42000000,
2023,9000000,51000000,
2024,12000000,63000000,
2025,14000000,77000000, Military: https://understandingwar.org/research/russia-ukraine/russias-fpv-drone-campaign-in-ukraine-institutionalizes-intentional-civilian-harm-as-a-tool-of-war/
