year,units,cumulative,source
2015,5,5,
2016,8,13,
2017,12,25,
2018,20,45,
2019,30,75,
2020,50,125,
2021,80,205,
2022,200,405,
2023,800,1205, Unitree only started selling humanoids in November 2023 and sold 1400 units in 2024: https://eu.36kr.com/en/p/3430759167593858
2024,2500,3705, Total shipments were a bit over 2000 in 2024 https://autonews.gasgoo.com/articles/news/from-prototypes-to-production-dexterous-hands-kick-off-a-mass-production-race-2016425582734970881
2025,16000,19705, https://counterpointresearch.com/en/insights/Global-Humanoid-Robot-Installations-Reach-16%2C000-Units-in-2025-as-Mass-Production-Picks-Pace
