year,units,source_url
1990,80000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1991,70000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1992,60000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1993,55000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1994,57000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1995,69000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1996,81000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1997,85000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1998,80000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
1999,79000,https://www.emerald.com/ir/article/doi/10.1108/ir.1998.04925aab.001/182720/World-Industrial-Robots-1997-IFR-statistics-1986
2000,99000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2001,78000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2002,81000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2003,86000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2004,97000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2005,115000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2006,112000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2007,115000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2008,113000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2009,60000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_2020_Industrial_Robots_1.pdf
2010,121000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2011,166000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2012,159000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2013,178000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2014,221000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2015,254000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2016,294000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2017,381000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2018,422000,https://ifr.org/downloads/press2018/Executive%20Summary%20WR%202019%20Industrial%20Robots.pdf
2019,373000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2020,384000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2021,526000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2022,553000,https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2023,541000,https://www.therobotreport.com/ifr-industrial-robot-deployments-have-doubled-in-10-years/;https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2024,542000,https://www.therobotreport.com/ifr-industrial-robot-deployments-have-doubled-in-10-years/;https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
2025,570000,https://www.therobotreport.com/ifr-industrial-robot-deployments-have-doubled-in-10-years/;https://ifr.org/img/worldrobotics/Executive_Summary_WR_Industrial_Robots_2023.pdf
