year,smartphone_shipments_millions,cumulative_shipments_millions,cumulative_shipments_billions
2005,55.6,55.6,0.055600000000000004
2006,80.5,136.1,0.1361
2007,122.0,258.1,0.2581
2008,139.0,397.1,0.3971
2009,174.0,571.1,0.5711
2010,305.0,876.1,0.8761
2011,491.0,1367.1,1.3671
2012,725.0,2092.1,2.0921
2013,1020.0,3112.1,3.1121
2014,1300.0,4412.1,4.412100000000001
2015,1432.0,5844.1,5.8441
2016,1470.0,7314.1,7.314100000000001
2017,1472.0,8786.1,8.786100000000001
2018,1402.6,10188.7,10.1887
2019,1371.0,11559.7,11.559700000000001
2020,1281.2,12840.900000000001,12.840900000000001
2021,1354.8,14195.7,14.1957
2022,1205.5,15401.2,15.401200000000001
2023,1166.9,16568.100000000002,16.5681
2024,1236.3,17804.4,17.8044
2025,1260.3,19064.7,19.064700000000002
